source,target,deg
33306989,33378609,1
32731258,33378609,1
32722908,33378609,1
22095567,33378609,1
32702298,33378609,1
32756549,33378609,1
33077678,33301246,1
33053279,33301246,1
32150748,33301246,1
33139139,33378609,1
16731915,33378609,1
33217362,33378609,1
32663912,33378609,1
32075877,33301246,1
21937658,33378609,1
22032844,33378609,1
32877576,33378609,1
32926660,33378609,1
33053279,33378609,1
33220855,33378609,1
18797453,33301246,1
32273591,33378609,1
32702299,33378609,1
26465999,33378609,1
22536382,33378609,1
32991794,33378609,1
31828291,33301246,1
33301246,33378609,1
26264835,33301246,1
32227757,33378609,1
27626517,33378609,1
27269431,33378609,1
16195424,21937658,2
16461566,21937658,2
17200946,21937658,2
17194199,21937658,2
15024391,21937658,2
15054081,21937658,2
17108024,21937658,2
15096611,21937658,2
15314040,21937658,2
16214268,21937658,2
15530413,21937658,2
16213065,21937658,2
15695582,21937658,2
17037596,21937658,2
16505353,21937658,2
15827197,21937658,2
15837235,21937658,2
16121363,21937658,2
16968120,21937658,2
16873249,21937658,2
16195440,21937658,2
16862151,21937658,2
16169905,21937658,2
16690096,21937658,2
15655773,21937658,2
15731234,21937658,2
12781533,21937658,2
14963300,21937658,2
15695582,16731915,2
15650189,16731915,2
15642942,16731915,2
15577937,16731915,2
15530413,16731915,2
15507655,16731915,2
15708987,16731915,2
15381196,16731915,2
15367630,16731915,2
15356154,16731915,2
15220038,16731915,2
15220033,16731915,2
15210961,16731915,2
15474494,16731915,2
15731223,16731915,2
15749124,16731915,2
15755610,16731915,2
14752165,21937658,2
14569023,21937658,2
12781535,21937658,2
17222058,21937658,2
12734147,21937658,2
12184362,21937658,2
16254327,16731915,2
16195424,16731915,2
16169905,16731915,2
16166518,16731915,2
16101349,16731915,2
16035944,16731915,2
16022774,16731915,2
15814718,16731915,2
15791205,16731915,2
15016880,21937658,2
17227689,21937658,2
18199635,21937658,2
17499378,21937658,2
17194199,22536382,2
17108019,22536382,2
16497416,22536382,2
16476986,22536382,2
16322745,22536382,2
16214268,22536382,2
16195424,22536382,2
15324552,22536382,2
15205534,22536382,2
15016880,22536382,2
14681510,22536382,2
12865378,22536382,2
12690092,22536382,2
12690091,22536382,2
12682352,22536382,2
17416434,22536382,2
17917067,22536382,2
17928346,22536382,2
17931153,22536382,2
7962541,27269431,2
4305198,27269431,2
4305197,27269431,2
21937658,22536382,2
21762752,22536382,2
20883165,22536382,2
20406307,22536382,2
12671062,22536382,2
20374001,22536382,2
19297479,22536382,2
18941225,22536382,2
18824060,22536382,2
18753223,22536382,2
18463152,22536382,2
18191004,22536382,2
18018769,22536382,2
19345285,22536382,2
17416434,21937658,2
12235218,22536382,2
9175832,22536382,2
19079256,21937658,2
19036930,21937658,2
18981084,21937658,2
18941225,21937658,2
18824060,21937658,2
18753223,21937658,2
18656518,21937658,2
18582997,21937658,2
15194798,16731915,2
18018769,21937658,2
17620608,21937658,2
17537853,21937658,2
17515829,21937658,2
17515642,21937658,2
