source,target,deg,isSpikeLink
33306989,33378609,1,0
32731258,33378609,1,0
32722908,33378609,1,0
22095567,33378609,1,0
32702298,33378609,1,0
32756549,33378609,1,0
33077678,33301246,1,0
33053279,33301246,1,0
32150748,33301246,1,0
33139139,33378609,1,0
16731915,33378609,1,0
33217362,33378609,1,0
32663912,33378609,1,0
32075877,33301246,1,0
21937658,33378609,1,0
22032844,33378609,1,0
32877576,33378609,1,0
32926660,33378609,1,0
33053279,33378609,1,0
33220855,33378609,1,0
18797453,33301246,1,0
32273591,33378609,1,0
32702299,33378609,1,0
26465999,33378609,1,0
22536382,33378609,1,0
32991794,33378609,1,0
31828291,33301246,1,0
33301246,33378609,1,0
26264835,33301246,1,0
32227757,33378609,1,0
27626517,33378609,1,0
27269431,33378609,1,0
16195424,21937658,2,0
16461566,21937658,2,0
17200946,21937658,2,0
17194199,21937658,2,0
15024391,21937658,2,0
15054081,21937658,2,0
17108024,21937658,2,0
15096611,21937658,2,0
15314040,21937658,2,0
16214268,21937658,2,0
15530413,21937658,2,0
16213065,21937658,2,0
15695582,21937658,2,0
17037596,21937658,2,0
16505353,21937658,2,0
15827197,21937658,2,0
15837235,21937658,2,0
16121363,21937658,2,0
16968120,21937658,2,0
16873249,21937658,2,0
16195440,21937658,2,0
16862151,21937658,2,0
16169905,21937658,2,0
16690096,21937658,2,0
15655773,21937658,2,0
15731234,21937658,2,0
12781533,21937658,2,0
14963300,21937658,2,0
15695582,16731915,2,0
15650189,16731915,2,0
15642942,16731915,2,0
15577937,16731915,2,0
15530413,16731915,2,0
15507655,16731915,2,0
15708987,16731915,2,0
15381196,16731915,2,0
15367630,16731915,2,0
15356154,16731915,2,0
15220038,16731915,2,0
15220033,16731915,2,0
15210961,16731915,2,0
15474494,16731915,2,0
15731223,16731915,2,0
15749124,16731915,2,0
15755610,16731915,2,0
14752165,21937658,2,0
14569023,21937658,2,0
12781535,21937658,2,0
17222058,21937658,2,0
12734147,21937658,2,0
12184362,21937658,2,0
16254327,16731915,2,0
16195424,16731915,2,0
16169905,16731915,2,0
16166518,16731915,2,0
16101349,16731915,2,0
16035944,16731915,2,0
16022774,16731915,2,0
15814718,16731915,2,0
15791205,16731915,2,0
15016880,21937658,2,0
17227689,21937658,2,0
18199635,21937658,2,0
17499378,21937658,2,0
17194199,22536382,2,0
17108019,22536382,2,0
16497416,22536382,2,0
16476986,22536382,2,0
16322745,22536382,2,0
16214268,22536382,2,0
16195424,22536382,2,0
15324552,22536382,2,0
15205534,22536382,2,0
15016880,22536382,2,0
14681510,22536382,2,0
12865378,22536382,2,0
12690092,22536382,2,0
12690091,22536382,2,0
12682352,22536382,2,0
17416434,22536382,2,0
17917067,22536382,2,0
17928346,22536382,2,0
17931153,22536382,2,0
7962541,27269431,2,0
4305198,27269431,2,0
4305197,27269431,2,0
21937658,22536382,2,0
21762752,22536382,2,0
20883165,22536382,2,0
20406307,22536382,2,0
12671062,22536382,2,0
20374001,22536382,2,0
19297479,22536382,2,0
18941225,22536382,2,0
18824060,22536382,2,0
18753223,22536382,2,0
18463152,22536382,2,0
18191004,22536382,2,0
18018769,22536382,2,0
19345285,22536382,2,0
17416434,21937658,2,0
12235218,22536382,2,0
9175832,22536382,2,0
19079256,21937658,2,0
19036930,21937658,2,0
18981084,21937658,2,0
18941225,21937658,2,0
18824060,21937658,2,0
18753223,21937658,2,0
18656518,21937658,2,0
18582997,21937658,2,0
15194798,16731915,2,0
18018769,21937658,2,0
17620608,21937658,2,0
17537853,21937658,2,0
17515829,21937658,2,0
17515642,21937658,2,0
17507479,21937658,2,0
19176631,21937658,2,0
19181630,21937658,2,0
19234811,21937658,2,0
19420084,21937658,2,0
8901605,22536382,2,0
8627759,22536382,2,0
7836924,22536382,2,0
6754243,22536382,2,0
4305198,22536382,2,0
4305197,22536382,2,0
21755013,21937658,2,0
11711632,22536382,2,0
21703402,21937658,2,0
20977431,21937658,2,0
20960282,21937658,2,0
20883165,21937658,2,0
20876821,21937658,2,0
20110095,21937658,2,0
19888339,21937658,2,0
19800030,21937658,2,0
20980507,21937658,2,0
15194770,16731915,2,0
14996844,16731915,2,0
15155925,16731915,2,0
16670345,31828291,2,0
16586358,31828291,2,0
11599686,31828291,2,0
26038486,26264835,2,0
25540984,26264835,2,0
25359562,26264835,2,0
25233993,26264835,2,0
25078002,26264835,2,0
25027661,26264835,2,0
23799535,26264835,2,0
23542122,26264835,2,0
23306021,26264835,2,0
23296926,26264835,2,0
23296925,26264835,2,0
23159882,26264835,2,0
17913310,31828291,2,0
18991332,31828291,2,0
19879222,31828291,2,0
21632986,31828291,2,0
29402578,31828291,2,0
29109276,31828291,2,0
29069368,31828291,2,0
29066091,31828291,2,0
28935236,31828291,2,0
28636855,31828291,2,0
28635557,31828291,2,0
23051623,26264835,2,0
28428558,31828291,2,0
27061888,31828291,2,0
27025838,31828291,2,0
25714138,31828291,2,0
25697739,31828291,2,0
25119609,31828291,2,0
24667168,31828291,2,0
23824369,31828291,2,0
27346939,31828291,2,0
22908294,26264835,2,0
22782619,26264835,2,0
22278370,26264835,2,0
15208624,18797453,2,0
14976262,18797453,2,0
14976261,18797453,2,0
14729660,18797453,2,0
14567964,18797453,2,0
14564000,18797453,2,0
12927681,18797453,2,0
15233739,18797453,2,0
11607032,18797453,2,0
10918143,18797453,2,0
10037236,18797453,2,0
9518670,18797453,2,0
8559660,18797453,2,0
8552671,18797453,2,0
8522182,18797453,2,0
7839312,18797453,2,0
10918485,18797453,2,0
29409570,31828291,2,0
15268662,18797453,2,0
16039576,18797453,2,0
21890902,26264835,2,0
21150709,26264835,2,0
20461061,26264835,2,0
20080679,26264835,2,0
19609242,26264835,2,0
18797453,26264835,2,0
18438401,26264835,2,0
15547138,18797453,2,0
16111635,26264835,2,0
1889744,26264835,2,0
1546298,26264835,2,0
18071662,18797453,2,0
17932806,18797453,2,0
17038590,18797453,2,0
16732888,18797453,2,0
16111635,18797453,2,0
15670750,26264835,2,0
15161975,16731915,2,0
29471464,31828291,2,0
30551178,31828291,2,0
12690091,16731915,2,0
11162792,16731915,2,0
32079150,32150748,2,0
32064853,32150748,2,0
32046819,32150748,2,0
32003551,32150748,2,0
31995857,32150748,2,0
31986264,32150748,2,0
31986261,32150748,2,0
31978945,32150748,2,0
29348656,32150748,2,0
27775012,32150748,2,0
19598148,32150748,2,0
19393959,32150748,2,0
12925421,32150748,2,0
12690092,16731915,2,0
12711465,16731915,2,0
12730500,16731915,2,0
12730501,16731915,2,0
15150417,16731915,2,0
15096611,16731915,2,0
15078936,16731915,2,0
15043961,16731915,2,0
15024391,16731915,2,0
12574374,27269431,2,0
14983044,16731915,2,0
32065055,32075877,2,0
14963300,16731915,2,0
14715271,16731915,2,0
14675530,16731915,2,0
14670965,16731915,2,0
14647384,16731915,2,0
12958366,16731915,2,0
12774078,16731915,2,0
12748314,16731915,2,0
14752165,16731915,2,0
32057769,32075877,2,0
32015508,32075877,2,0
32015507,32075877,2,0
27578435,32075877,2,0
26935699,32075877,2,0
24040512,32075877,2,0
21325420,32075877,2,0
19321428,32075877,2,0
18562523,32075877,2,0
16954221,32075877,2,0
27617430,32075877,2,0
16597622,32075877,2,0
15264254,32075877,2,0
14647384,32075877,2,0
12393927,32075877,2,0
11121305,32075877,2,0
9814710,32075877,2,0
8254673,32075877,2,0
15572765,32075877,2,0
30216647,31828291,2,0
28008928,32075877,2,0
28393837,32075877,2,0
32007145,32075877,2,0
32007143,32075877,2,0
31996437,32075877,2,0
31995857,32075877,2,0
31986264,32075877,2,0
31986261,32075877,2,0
31591575,32075877,2,0
28165473,32075877,2,0
31534041,32075877,2,0
30712865,32075877,2,0
30356097,32075877,2,0
30102747,32075877,2,0
29872003,32075877,2,0
29513216,32075877,2,0
29073020,32075877,2,0
28807998,32075877,2,0
31504163,32075877,2,0
15286725,27269431,2,0
24850731,27269431,2,0
17344286,27269431,2,0
32663912,32991794,2,0
32640463,32991794,2,0
32555424,32991794,2,0
32540900,32991794,2,0
32526206,32991794,2,0
32434946,32991794,2,0
32289263,32991794,2,0
32214079,32991794,2,0
32015508,32991794,2,0
31351922,32991794,2,0
31079849,32991794,2,0
30501873,32991794,2,0
28931244,32991794,2,0
28807998,32991794,2,0
26802140,32991794,2,0
32697968,32991794,2,0
32722908,32991794,2,0
32756549,32991794,2,0
9143688,33053279,2,0
32555134,33053279,2,0
32289263,33053279,2,0
32075877,33053279,2,0
31079849,33053279,2,0
28807998,33053279,2,0
26650692,33053279,2,0
26264835,33053279,2,0
24066892,32991794,2,0
25830322,33053279,2,0
23701746,33053279,2,0
20362616,33053279,2,0
19493565,33053279,2,0
18797453,33053279,2,0
15474494,33053279,2,0
15265895,33053279,2,0
15033360,33053279,2,0
25742465,33053279,2,0
32663912,33053279,2,0
21398392,32991794,2,0
18824060,32991794,2,0
14506376,32877576,2,0
32697968,32756549,2,0
32663912,32756549,2,0
32637598,32756549,2,0
32574299,32756549,2,0
32526206,32756549,2,0
32385100,32756549,2,0
32352406,32756549,2,0
32087114,32756549,2,0
32075877,32756549,2,0
31712433,32756549,2,0
31371616,32756549,2,0
30785039,32756549,2,0
30691364,32756549,2,0
29566112,32756549,2,0
19198616,32877576,2,0
20008423,32877576,2,0
22844480,32877576,2,0
26259809,32877576,2,0
18419349,32991794,2,0
17855683,32991794,2,0
32785213,32877576,2,0
32731257,32877576,2,0
32726528,32877576,2,0
32670071,32877576,2,0
32659783,32877576,2,0
20463105,32991794,2,0
32618497,32877576,2,0
32203189,32877576,2,0
32191675,32877576,2,0
32075877,32877576,2,0
31402384,32877576,2,0
