source,target,deg
33306989,33378609,1
32731258,33378609,1
32722908,33378609,1
22095567,33378609,1
32702298,33378609,1
32756549,33378609,1
33077678,33301246,1
33053279,33301246,1
32150748,33301246,1
33139139,33378609,1
16731915,33378609,1
33217362,33378609,1
32663912,33378609,1
32075877,33301246,1
21937658,33378609,1
22032844,33378609,1
32877576,33378609,1
32926660,33378609,1
33053279,33378609,1
33220855,33378609,1
18797453,33301246,1
32273591,33378609,1
32702299,33378609,1
26465999,33378609,1
22536382,33378609,1
32991794,33378609,1
31828291,33301246,1
33301246,33378609,1
26264835,33301246,1
32227757,33378609,1
27626517,33378609,1
27269431,33378609,1
16195424,21937658,2
16461566,21937658,2
17200946,21937658,2
17194199,21937658,2
15024391,21937658,2
15054081,21937658,2
17108024,21937658,2
15096611,21937658,2
15314040,21937658,2
16214268,21937658,2
