pubDate,cum_nArts,cum_nCollabs,cum_nGeoCollabs
06-13,26509,659336.0,86882.0
06-14,26602,662361.0,87203.0
06-15,26997,671720.0,88013.0
06-16,27401,686700.0,89613.0
06-17,27780,707471.0,91067.0
06-18,28243,724335.0,93671.0
06-19,28623,732408.0,95068.0
06-20,28896,744462.0,95488.0
06-21,28998,747910.0,95653.0
06-22,29354,756743.0,96641.0
06-23,29756,765876.0,97928.0
06-24,30167,782204.0,100245.0
06-25,30646,793071.0,101584.0
06-26,31107,810905.0,103232.0
06-27,31346,815759.0,103742.0
06-28,31473,822502.0,104680.0
06-29,31856,843095.0,107245.0
06-30,32330,854843.0,108457.0
07-01,32963,873411.0,110108.0
07-02,33384,882874.0,111409.0
07-03,33817,894529.0,112610.0
07-04,34070,900000.0,113359.0
07-05,34140,901921.0,113539.0
07-06,34510,909811.0,114629.0
07-07,34883,918306.0,115354.0
07-08,35250,931926.0,116708.0
07-09,35718,943807.0,119662.0
07-10,36190,957362.0,120621.0
07-11,36414,962156.0,121181.0
07-12,36553,965021.0,121401.0
07-13,36928,976577.0,122647.0
07-14,37347,988355.0,123740.0
07-15,37810,1000886.0,125501.0
07-16,38227,1012342.0,127341.0
07-17,38660,1025104.0,128390.0
07-18,38844,1028163.0,128900.0
07-19,38980,1033155.0,129198.0
07-20,39286,1040556.0,129810.0
07-21,39692,1048803.0,130360.0
07-22,40082,1058752.0,131528.0
07-23,40567,1074164.0,132909.0
07-24,41009,1084335.0,134154.0
07-25,41242,1088324.0,134540.0
07-26,41317,1089553.0,134597.0
07-27,41671,1100049.0,136531.0
07-28,42080,1111200.0,137518.0
07-29,42426,1121164.0,138582.0
07-30,42865,1136002.0,139784.0
07-31,43247,1155114.0,141909.0
08-01,43593,1164207.0,143664.0
08-02,43684,1166816.0,143800.0
08-03,44022,1175468.0,144578.0
08-04,44423,1188299.0,146324.0
08-05,44790,1201086.0,147290.0
08-06,45255,1213830.0,148349.0
08-07,45653,1226889.0,150431.0
08-08,45857,1232433.0,150959.0
08-09,45986,1235094.0,151171.0
08-10,46330,1247595.0,152082.0
08-11,46771,1257935.0,153120.0
08-12,47104,1270166.0,153971.0
08-13,47578,1284763.0,158399.0
08-14,48010,1300106.0,160188.0
08-15,48248,1306812.0,160436.0
08-16,48361,1312364.0,160879.0
08-17,48698,1321371.0,161766.0
08-18,49139,1331477.0,162649.0
08-19,49525,1341847.0,163451.0
08-20,49972,1355225.0,164953.0
08-21,50468,1373389.0,166322.0
08-22,50651,1376008.0,166644.0
08-23,50745,1377826.0,166924.0
08-24,51078,1387926.0,167945.0
08-25,51550,1403569.0,170292.0
08-26,51969,1415085.0,171755.0
08-27,52439,1433105.0,174230.0
08-28,52886,1444379.0,175419.0
08-29,53117,1483791.0,176103.0
08-30,53202,1485333.0,176205.0
08-31,53502,1491812.0,176972.0
09-01,54092,1512008.0,178377.0
09-02,54548,1533946.0,179708.0
09-03,54972,1548246.0,181520.0
09-04,55344,1557381.0,182537.0
09-05,55508,1560886.0,182913.0
09-06,55678,1563680.0,183363.0
09-07,55964,1578293.0,186571.0
09-08,56256,1585715.0,187114.0
09-09,56636,1597609.0,188294.0
09-10,57036,1608016.0,189299.0
09-11,57490,1623175.0,190861.0
09-12,57687,1627746.0,191531.0
09-13,57758,1632677.0,192904.0
09-14,58070,1642129.0,193788.0
09-15,58493,1654380.0,194890.0
09-16,58900,1663404.0,196273.0
09-17,59294,1676906.0,197323.0
09-18,59818,1691489.0,198505.0
09-19,60057,1697209.0,199170.0
09-20,60170,1700704.0,199569.0
09-21,60585,1712916.0,200949.0
09-22,61148,1734153.0,203575.0
09-23,61603,1749160.0,205774.0
09-24,62060,1779491.0,208001.0
09-25,62529,1792644.0,209000.0
09-26,62694,1795133.0,209201.0
09-27,62783,1797026.0,209293.0
09-28,63254,1808591.0,221577.0
09-29,63668,1822759.0,222723.0
09-30,64314,1842416.0,224706.0
10-01,64979,1865378.0,226713.0
10-02,65323,1879918.0,227293.0
10-03,65524,1884019.0,227666.0
10-04,65585,1885320.0,227801.0
10-05,65918,1896191.0,229389.0
10-06,66432,1913937.0,231938.0
10-07,66832,1925066.0,232929.0
10-08,67322,1943660.0,234579.0
10-09,67793,1959564.0,236280.0
10-10,68053,1965389.0,236873.0
10-11,68134,1967203.0,237025.0
10-12,68766,1984493.0,238084.0
10-13,69164,1995819.0,239339.0
10-14,69627,2009675.0,240332.0
10-15,70174,2051465.0,243174.0
10-16,70686,2064573.0,245154.0
10-17,70925,2073676.0,246325.0
10-18,71003,2075967.0,246436.0
10-19,71364,2086166.0,247453.0
10-20,71786,2098262.0,248731.0
10-21,72301,2112778.0,249766.0
10-22,72808,2128625.0,251984.0
10-23,73200,2140763.0,253019.0
10-24,73391,2146339.0,253526.0
10-25,73454,2147947.0,253570.0
10-26,73828,2164386.0,255052.0
10-27,74210,2176313.0,256230.0
10-28,74539,2204484.0,256991.0
10-29,74986,2217397.0,258332.0
10-30,75387,2230468.0,259553.0
10-31,75781,2242020.0,260037.0
11-01,76055,2251525.0,260967.0
11-02,76414,2271835.0,262794.0
11-03,76737,2282455.0,263913.0
11-04,77110,2298196.0,265267.0
11-05,77536,2317583.0,267204.0
11-06,77910,2330363.0,268437.0
11-07,78101,2335174.0,268904.0
11-08,78177,2337765.0,269077.0
11-09,78622,2360752.0,274458.0
11-10,78932,2375837.0,275934.0
11-11,79309,2386876.0,277098.0
11-12,79694,2400556.0,278443.0
11-13,80074,2413590.0,279614.0
11-14,80188,2416590.0,279857.0
11-15,80264,2418328.0,280044.0
11-16,80598,2430799.0,281226.0
11-17,81007,2456258.0,283118.0
11-18,81323,2465609.0,283852.0
11-19,81727,2483385.0,285143.0
11-20,82144,2498449.0,286150.0
11-21,82324,2503689.0,286673.0
11-22,82412,2507199.0,286882.0
11-23,82795,2518767.0,287530.0
11-24,83193,2535933.0,288610.0
11-25,83616,2550172.0,290609.0
11-26,83987,2570307.0,291861.0
11-27,84291,2583087.0,293217.0
11-28,84540,2590124.0,293771.0
11-29,84620,2592046.0,293855.0
11-30,85048,2605402.0,295091.0
12-01,85548,2619691.0,296234.0
12-02,85868,2632851.0,297430.0
12-03,86307,2649654.0,298962.0
12-04,86633,2667813.0,299934.0
12-05,86807,2670964.0,300171.0
12-06,86882,2674336.0,300806.0
12-07,87206,2684519.0,301381.0
12-08,87510,2705979.0,305919.0
12-09,87902,2719316.0,307510.0
12-10,88279,2736524.0,309062.0
12-11,88690,2751919.0,311161.0
12-12,88782,2753505.0,311354.0
12-13,88893,2756872.0,311764.0
12-14,89259,2773130.0,313216.0
12-15,89600,2781788.0,313911.0
12-16,90040,2796470.0,352608.0
12-17,90409,2843710.0,354937.0
12-18,90687,2854473.0,357599.0
12-19,90824,2857568.0,357861.0
12-20,90866,2859156.0,358020.0
12-21,91133,2869559.0,358971.0
12-22,91449,2880381.0,360328.0
12-23,91739,2889310.0,361016.0
12-24,91984,2899008.0,363010.0
12-25,92073,2904389.0,363431.0
12-26,92235,2909322.0,363846.0
12-27,92288,2910055.0,363921.0
12-28,92527,2918136.0,364451.0
12-29,92760,2924692.0,364818.0
12-30,92995,2935824.0,365878.0
12-31,93513,2955500.0,367401.0
