pubDate,cum_nArts,cum_nCollabs,cum_nGeoCollabs
01-01,26,990.0,8.0
01-02,34,1150.0,34.0
01-03,45,1960.0,73.0
01-04,49,2026.0,74.0
01-05,51,2081.0,74.0
01-06,64,2628.0,107.0
01-07,73,2735.0,117.0
01-08,88,3098.0,152.0
01-09,98,3864.0,216.0
01-10,112,4464.0,237.0
01-11,116,4518.0,239.0
01-12,120,4681.0,273.0
01-13,126,5021.0,280.0
01-14,137,5171.0,342.0
01-15,148,5431.0,360.0
01-16,163,5775.0,400.0
01-17,174,6059.0,407.0
01-18,180,6126.0,415.0
01-19,182,6198.0,415.0
01-20,190,6523.0,432.0
01-21,205,6966.0,469.0
01-22,216,7184.0,478.0
01-23,230,7739.0,584.0
01-24,259,8836.0,608.0
01-25,265,9008.0,618.0
01-26,265,9008.0,618.0
01-27,279,9174.0,627.0
01-28,295,9634.0,639.0
01-29,312,9969.0,648.0
01-30,341,10927.0,747.0
01-31,371,11464.0,795.0
02-01,399,12618.0,815.0
02-02,402,12649.0,826.0
02-03,433,13408.0,4625.0
02-04,468,14625.0,4672.0
02-05,505,15293.0,4722.0
02-06,540,15597.0,4780.0
02-07,589,16796.0,4963.0
02-08,595,16853.0,4975.0
02-09,598,16860.0,4979.0
02-10,617,17408.0,5020.0
02-11,656,18682.0,5096.0
02-12,693,19713.0,5224.0
02-13,729,20826.0,5356.0
02-14,785,21871.0,5463.0
02-15,794,21963.0,5469.0
02-16,799,21967.0,5469.0
02-17,820,22366.0,5498.0
02-18,847,22781.0,5514.0
02-19,895,23816.0,5816.0
02-20,945,25042.0,5876.0
02-21,987,25635.0,5908.0
02-22,1009,25898.0,5931.0
02-23,1015,25914.0,5936.0
02-24,1045,26386.0,5954.0
02-25,1080,27154.0,6106.0
02-26,1128,28499.0,6182.0
02-27,1180,29521.0,6221.0
02-28,1237,32065.0,6455.0
02-29,1253,32278.0,6478.0
03-01,1304,32774.0,6529.0
03-02,1334,33065.0,6660.0
03-03,1388,34145.0,6767.0
03-04,1439,34935.0,6830.0
03-05,1505,37555.0,7027.0
03-06,1555,38887.0,7160.0
03-07,1572,38972.0,7188.0
03-08,1578,39028.0,7193.0
03-09,1622,40783.0,7306.0
03-10,1672,41733.0,7356.0
03-11,1733,42562.0,7404.0
03-12,1808,43861.0,7542.0
03-13,1885,46230.0,7968.0
03-14,1916,46697.0,8010.0
03-15,1935,46877.0,8017.0
03-16,1997,47874.0,8053.0
03-17,2076,51224.0,8388.0
03-18,2160,55590.0,8659.0
03-19,2269,58717.0,9028.0
03-20,2399,60937.0,9203.0
03-21,2440,61779.0,9261.0
03-22,2457,66237.0,9288.0
03-23,2530,67289.0,9453.0
03-24,2606,70324.0,9599.0
03-25,2701,73349.0,9968.0
03-26,2820,77570.0,10302.0
03-27,2982,82645.0,10753.0
03-28,3037,84309.0,11047.0
03-29,3079,85580.0,11090.0
03-30,3246,92616.0,11985.0
03-31,3436,96206.0,12797.0
04-01,3664,101590.0,13831.0
04-02,3860,104905.0,14279.0
04-03,4079,110351.0,14780.0
04-04,4169,111398.0,14944.0
04-05,4202,111626.0,14959.0
04-06,4389,117869.0,15696.0
04-07,4563,122782.0,16616.0
04-08,4796,127493.0,17239.0
04-09,5031,135169.0,18518.0
04-10,5360,142240.0,19079.0
04-11,5543,145880.0,19942.0
04-12,5603,149075.0,21033.0
04-13,5806,151749.0,21695.0
04-14,6000,155918.0,22623.0
04-15,6331,161244.0,23345.0
04-16,6591,167829.0,24635.0
04-17,6942,176985.0,26351.0
04-18,7130,181010.0,26958.0
04-19,7200,182431.0,27036.0
04-20,7460,185471.0,27478.0
04-21,7768,190594.0,27971.0
04-22,8150,203412.0,29523.0
04-23,8534,213543.0,31113.0
04-24,8890,220922.0,32425.0
04-25,9054,223230.0,32930.0
04-26,9149,224563.0,33041.0
04-27,9561,233289.0,35203.0
04-28,9925,240379.0,35969.0
04-29,10272,248431.0,37027.0
04-30,10727,264463.0,38020.0
05-01,11116,273348.0,38951.0
05-02,11225,275988.0,39143.0
05-03,11349,280221.0,39488.0
05-04,11665,286711.0,40324.0
05-05,11973,293152.0,41181.0
05-06,12364,301566.0,42137.0
05-07,12784,312164.0,44019.0
05-08,13266,326131.0,46311.0
05-09,13373,327468.0,46432.0
05-10,13446,331043.0,46670.0
05-11,13977,343419.0,48346.0
05-12,14396,350925.0,50051.0
05-13,14840,361231.0,51832.0
05-14,15278,372071.0,52930.0
05-15,15805,381945.0,54308.0
05-16,16081,388852.0,55722.0
05-17,16182,393594.0,55911.0
05-18,16572,402793.0,57282.0
05-19,17021,413313.0,58555.0
05-20,17422,427305.0,60602.0
05-21,17851,436927.0,61659.0
05-22,18375,451151.0,62699.0
05-23,18691,457482.0,63771.0
05-24,18803,459273.0,63994.0
05-25,19099,464926.0,64647.0
05-26,19517,474612.0,66444.0
05-27,19959,487763.0,67256.0
05-28,20386,504320.0,68881.0
05-29,20875,518337.0,70604.0
05-30,21217,525131.0,71421.0
05-31,21391,528432.0,71808.0
06-01,21879,540744.0,72636.0
06-02,22269,548084.0,73424.0
06-03,22689,556841.0,74235.0
06-04,23157,572889.0,76050.0
06-05,23641,584810.0,77173.0
06-06,23875,591609.0,77911.0
06-07,24033,595355.0,78196.0
06-08,24456,607822.0,79809.0
06-09,24893,617052.0,80418.0
06-10,25353,626011.0,81464.0
06-11,25791,639052.0,83802.0
06-12,26282,654648.0,86297.0
